영농작물,재배제목,재배내용
강낭콩,1차 밑거름,① 강낭콩은 다른 콩과 작물에 비해 거름 요구량이 높은편이며 산성인 토양을 싫어합니다. (\n) ② 파종 2주전 : 고토석회 200g/3㎡를 섞어 밭을 갈아둡니다.
강낭콩,멀칭하기,"저온장해  잡초 방지를 위해 비닐 이나 짚, 신문지 등으로 멀칭을 해주도록 합니다. 합니다. 비멀칭으로 재배를 할 경우 잡초관리에 신경써 주도록 합니다."
강낭콩,이랑 만들기,"① 강낭콩은 과습에 약한 작물이므로 원활한 배수를 위해 깊이 갈이를 해주세요. ② 이랑폭은 150㎝~180㎝로 합니다.\n ③ 두둑넓이 100㎝~120㎝, 두둑높이 10~15㎝, 고랑간격 50~60㎝* 씨뿌리기 직전에 내텃밭에 맞는 이랑의 폭을 선택하고  두둑을 지어주세요. 물빠짐이 좋지 않은 곳은 조금 높게 두둑을 만들어주시는 것이 좋습니다."
강낭콩,2차 밑거름,"파종 1주전 : 완숙퇴비 2kg/㎡, 깻묵 400g/㎡을 섞어 밭을 갑니다."
강낭콩,씨앗/모종준비,"① 강낭콩 종자는 오래될수록 발아율이 크게 떨어집니다. 될 수 있으면 오래되지 않은 것으로 준비합니다. ② 씨앗봉지 뒷면의 일자를 잘 보아서 구입하세요. [만성종]덩굴성이고 비교적 고온과 병해에는 강함. 키가 크고 측지의 발생이 많아 생육기간과 수확기간이 길며 수량성도 높습니다. 이러한 특성 때문에 고온기의 노지에서 비교적 긴 기간의 재배에 적합합니다.[왜성종]직립형이고 생육기간이 50일 내외로 짧음. 만성종에 비하여 고온에 약하고 저온기에 열매가 잘 달리는품종이 많습니다. 이러한 특성 때문에 왜성종은 저온기 노지재배에 적합하며, 도시근교의 단기 윤작작물로서 인기가 높습니다."
강낭콩,씨뿌리기,"① 서리를 피해 4월 중순쯤 파종하는 것이 좋습니다. 하지만 남부지방은 조금 이른 3월 하순경에 파종하기도 합니다. ② 콩은 과습에 약한 작물입니다. 장마가 시작되기 전에 수확해야 하므로 될 수 있으면 4월 하순까지 파종을 마치고 파종이 늦어지는 경우 재배기간이 짧은 품종을 선택하도록 합니다.  ▶ 왜성종(矮性種) : 30~35㎝ 폭으로 3열, 주간 30㎝ ▶ 만성종(慢性種) : 60㎝ 폭으로 2열, 주간 40~45㎝③ 3cm로 구멍을 내어 씨앗 2~3개씩 심고 흙을 가볍게 덮어줍니다. 파종 후 충분한 물주기를 하도록 합니다. ④ 새나 해충에 의한 피해를 방지하기위해 한랭사를 설치하는 것도 좋습니다. 씨앗이 자라 한랭사 높이만큼 키가 컸을때 한랭사를 걷어주면 됩니다. 작은 공간에 소량 파종할 경우 페트병을 이용한 인큐베이터를 만들어 줄 수 도 있습니다."
강낭콩,북주기,"▷웃거름을  한 후 호미로 이랑을 가볍게 긁어주어 잡초를 없애고, 포기주변에 흙을 올려 북주기를 해줍니다.   \n▷파종 후  30∼40일쯤 가벼운 김매기와 동시에 북주기를 하는 것이 토양의 통기성을 좋게하여 뿌리의 발달을 촉진시키고, 잡초를 방제하며 작물이 쓰러지는 것을 방지할 수 있습니다."
강낭콩,웃거름,"▷왜생종의 경우는 재배 기간이 짧아 밑거름만으로도 충분하지만 재배기간이 비교적 길고 키가 많이 자라는 만생종 덩굴 강낭콩의 경우는 지주를 세워주고 일주일 후에 거름을 한 주먹씩 포기 사이에 넣어줍니다. ▷웃거름이 잘 스며들 수 있도록 물주기를 합니다. 혹 비소식이 있다면 비가 오기전에 웃거름을 해둡니다. ▷강낭콩은 거름이 많이 필요없는 작물입니다. 비료가 너무 많으면 잎이 말리거나, 꼬투리 형성이 잘 안되거나 진딧물이 많이 발생할 수 있으므로 성장을 잘 관찰하여 필요 없는 경우 웃거름을 하지 않으셔도 됩니다."
강낭콩,유인하기,덩굴이 뻗어나가기 시작하면(본잎 1~2매 전개) 자연스럽게 지주를 타고 올라가게 됩니다. 그렇지 못한경우 유인시켜주세요.
강낭콩,지주세우기,▷지주는 작물이 어릴때 세워주어야 작물의 손상을 최소화할 수 있습니다. 솎아내기 후 지주를 세워주세요. \n▷일반적으로 만생종인 덩굴 강낭콩의 경우 위로 자랄수 있도록 지주를 세워주어야 합니다. 두줄 이랑이므로 2m 높이의 지주를 x로 교차시켜 주고 줄을 수평으로 3단정도 메어줍니다. 덩굴을 유인하는 지주는 취향과 텃밭의 지형에 맞추어 창의적으로 디자인하셔도 됩니다.▷왜생종은 직립형이고  키가 작으므로 보통 지주가 필요없지만 무성하게 자라서  쓰러질 위험이 있는경우에는 포기당 하나씩 일자지주를 세워줍니다.
강낭콩,솎아내기,솎음 : 본잎이 2~3장이 났을때 튼튼한 2포기만 남기고 생육이 나쁜 나머지는 솎아냅니다.
강낭콩,수확,"▷ 수확기는 보통 꽃이 핀 후 25~30일 정도 경과되어 꼬투리가 변색 될 때이며, 왜성종은 일시에 수확하지만 만성종은 길게는 두달정도 수확할 수 있습니다. ▷ 왜성종을 심을 경우 7~10일 정도 시간차이를 두어 파종할 경우 수확기간을 늘릴 수 있습니다.▷ 꼬투리가 10~13cm 정도 되면 수확적기이며, 강낭콩은 수확이 늦어질 경우 알이 단단해져 먹기 힘들어지니 수확기가 되면 빨리 수확하도록 합니다."
강낭콩,보관,▷강낭콩은 수확하자마자 껍질을 제거하여 1회 분량으로 나누어 냉동 보관하시면 필요할때 먹기 좋습니다.  \n▷껍질을 제거하지 않고 꼬투리째 보관
강낭콩,씨받기,"큰 꼬투리를 남겨두어 건조시킨 후 수확한 다음, 다시 충분히 건조하여 꼬투리 안의 종자를 용기에 담아 보관하도록 합니다."
배추,1차 밑거름,▷ 파종 2주전 : 고토석회 1000g/10㎡을 넣어 깊이갈이를 하여 뿌리가 잘 자랄 수 있도록 합니다. \n▷ 석회는 배추의 뿌리혹병을 방지해줍니다.
배추,씨앗/모종준비,"배추는 봄재배, 여름재배, 가을재배 등 다양한 재배시기와 활용도가 있습니다. 배추 재배의 시기와 쓰임에 따른 품종을 선택하시기 바랍니다. 또한 배추재배시 병해로 인해 어려움을 겪는 경우 내병성이 강한 품종을 선택하시는 것이 좋습니다. ▶노균병에 대한 저항성 품종CR그린, CR으뜸, CR여름맛, CR하계,CR새로나,CR강타▶뿌리혹병 저항성 품종CR새로나*뿌리혹병 저항성 품종은 대부분 무름병에도 저항성을 지니고 있습니다."
배추,이랑만들기,"[1줄 이랑] 두둑 넓이60~90cm,  고랑 넓이 30cm, 두둑 높이 20cm [2줄 이랑] 두둑 넓이120~150cm, 고랑 넓이 30cm, 두둑 높이 20cm"
배추,멀칭하기,▷ 흑색 등 멀칭비닐을 씌워 밭 토양의 온도를 유지하고 잡초가 생기는 것을 막아주도록 합니다.
배추,2차 밑거름,"▷ 파종 1주전 : 완숙퇴비 4kg/10㎡, 깻묵 8kg/10㎡을 섞어 밭을 갑니다.* 미숙퇴비를 사용할 경우 가스에 의한 장애를 입을 수 있습니다."
배추,모기르기(육묘),포트나 온상보다 가볍고 운반이 용이한 플러그 상자를 이용한다.\n ▶105공 플러그 상자를 이용합니다. \n▶구의 중앙에 배추 종자 1립씩을 심고 종자 두께의 2~3배 만큼 흙을 덮어 줍니다. ▶파종 후 2~3일이면 발아가 완료됩니다. 주의!! : 당해연도 구매 종자의 경우 1립씩 파종하여도 되나 1년 이상 묵은 종자 또는 품종명이 확실하지 않은 재래종의 경우 2~3립씩 심어주며 나중에 솎음을 해주어야 합니다. ▶육묘기간은 일반적으로 20~25일 정도 소요됩니다. ▶파종 및 육묘기간이 다소 고온이므로 온도상승에 주의하며  낮 온도가 25℃이상이 되지 않도록 관리합니다. ▶특히 육묘기 해충에 의한 피해를 조심해야 하므로 한랭사나 채소재배용 부직포를 덮어줍니다.
배추,모종심기,"가을, 여름 재배는 본 잎이 3~4매가 났을때 모종을 정식합니다.  * 봄재배는 본 본잎이 5~6매 정식기간은 보통 고온기이므로 흐린 날 오후에 해야 뿌리를 잘내립니다. 정식 후 물을 충분히 주도록 합니다. ▶주간 거리는 30~40cm로 해줍니다. ▶품종에 따라 구의 크기가 다르므로 큰 품종은 주당 간격을 넓게 해주고, 작은 품종은 주당 간격을 좁게 해줍니다.▶해충 방지를 위해 한랭사 터널을 만들어 주는 것이 좋습니다."
배추,웃거름,▶심은지 2주 후 1차 거름을 줍니다. 한랭사 터널의 측면을 걷고 포기당 퇴비 한주먹을 뿌려줍니다. \n▶손으로 흙과 비료를 잘 섞어 모종 주변을 덮고 터널을 다시 씌워줍니다.
배추,2차 웃거름,심은지 4주 후 2차 웃거름을 합니다. 두둑 옆에 고랑을 파고 거름 한 주먹씩 흩어 뿌리기해줍니다.
배추,북주기,▷고랑을 파고 웃거름을 한 후 다시 흙으로 고랑을 메우고 그루 주위에 흙을 포지 주변으로 올려 북주기를 합니다. * 10월 상순쯤 한랭사를 제거해 줍니다.
배추,수확,"위에서 배추 중앙부분을 눌러 보았을때 단단하게 느껴질때 수확하면 됩니다. 수확기가 늦어지면 추대, 석회결핍증 등 생리적 장해와 연두병, 노균병 등 병이 심해질 수 있으니 주의하시기 바랍니다.서리가 내리기 전 1월까지 밭에서 밭에 보존하기 위해서는 겉입을 묶어주면 동해를 피할 수 있다. ▶잎사귀를 가운데로 모아 단단히 묶어준다."
배추,보관,[저장 방법]▶배추 뿌리를 잘라내고 겉잎을 3~4매 정도 떼어낸 후 그늘에서 2~3일간 물기를 말려줍니다. \n▶폴리에틸렌 비닐봉지에 무를 넣어 적당한 용기에 보관하면 녹색과 신선도를 유지하면서 2월말까지 먹을 수 있습니다.
토마토,1차 밑거름,모종 심기 2주 전 고토석회 100g/㎡-밭갈기
토마토,모종심기,"첫 꽃(제 1 화방)이 살짝 핀 시기(10% 정도 피었을때)가 적기모종에 미리 물을 주어 포트에서 모종을 뽑을때 흙이 유실되지 않도록 한다. 두둑위에 모종을 심을 구멍을 파고 모종 흙의 높이와 두둑의 높이가 거의 같을 정도로 심는다. 토마토는 한쪽 방향으로만 꽃을 피움, 꽃이 고랑쪽을 향하도록 심어 수확 및 성장에 유리하도록 한다. 모종은 해볕이 강한 때를 피해 심도록 한다.  모종을 심고 3~4일은 흙이 마르지 않도록 물을 줘야함"
토마토,수확,"꽃이 핀 후 60일 정도면 수확할 수 있고, 수정 후 3~5일 이면 착과하고, 보통 30일 후면 수확할 수 있습니다. 토마토는 한번에 익지 않기때문에 익은 순서대로 수확하도록 합니다. 당도에 따른 식미 차이가 크므로 충분히 익어 과피 전체의 90% 이상 착색 되었을때 수확하도록 합니다."
토마토,멀칭하기,"저온기, 잡초제거를 위해서는 멀칭을 해주세요"
토마토,이랑 만들기,"- 1줄이랑 : 25~30㎝ 높이, 주 당 50㎝ 간격, 두둑 넓이 50㎝, 두둑간격 80~120㎝- 2줄이랑 : 25~30㎝ 높이, 주당 간격 50㎝, 두둑넓이 70~80㎝, 두둑간격 80~120㎝"
토마토,모종준비,마디간격이 좁고 녹색을 띠며 뿌리가 건강한 것
토마토,순따기,제1화방이 꽃필 무렵부터는 원줄기가 병이 들었을 경우를 위해 줄기의 제일 윗부분에 있는 곁순 1~2개만 남기고 각 잎의 겨드랑이에서 나오는 곁순은 바로바로 모두 따주어야 합니다. 특히 화방 바로 아래 곁순은 꼭 따주어야함.곁가지를 제거하지 않으면 열매가 부실하고 통기에도 좋지 않음체내 수분함량이 높은 오전에 작업한다.토마토의 꽃은 4~5개만 남기고 따주기
토마토,유인하기,줄기가 성장함에 따라 바람에 꺾이지 않도록 지주에 묶어주어야 함.유인 간격은 20~30cm
토마토,2차 밑거름,모종 심기 1주 전 완숙퇴비 5kg/㎡- 밭갈기
토마토,인공수분,첫 꽃은 반드시 열매를 맺게 하는 것이 좋습니다. 인공부분으로 열매를 맺게해주면 양분이 열매로 분산되어 웃자람을 방지할 수 있습니다. 꽃이 2~3개 정도 피었을때 줄기를 잡고 살짝 흔들어 주세요.
토마토,웃거름,제 1 웃거름은 만들어둔 거름 혹은 복합비료를 3번째 꽃이 필 무렵(정식 2달 후) 실시하며 이후 20~25일 간격으로 실시하고 포기사이에 넣어주면 됩니다.
토마토,순지르기,수확종료 50일 전(토마토가 4~5번째 화방에 열매가 열릴때)에 실시합니다. *방울토마토는 열매가 7단 정도 열릴때 순지르기를 합니다.제일 위쪽에 위치한 열매 위의 잎 2~3개만 남기고 원 줄기를 잘라줍니다. 순지르기를 해주지 않으면 키가 너무 자라고 열매는 잘 익지 않습니다.
토마토,열매솎기,열매의 원활한 성장을 위해 한 가지에 4~5개의 열매만 남기고 나머지 열매나 꽃을 솎아줍니다.
토마토,씨받기(채종),1. 먼저 맘에 드는 품종의 토마토 열매를 완전히 익도록 둡니다. 2. 토마토를 반으로 갈라 종자를 긁어내어 투명한 용기에 담습니다. 3. 그대로 2~3일간 발효를 시켜 표면에 떠있는 종자와 부패한 물은 버리고 바닥에 가라앉은 튼튼한 종자만 체를 이용하여 물로 헹궈줍니다. 4. 신문지나 키친타월 위에 놓고 충분히 말린후 냉장고에 보관합니다.
당근,수확,"▷ 파종 후 75~120일 정도에 수확이 가능하고, 미니당근 70일 정도에 수확이 가능합니다. ▷당근의 잎 줄기가 땅으로 쳐져 땅에 닿을때 수확합니다. ▷수확후 장지간 노출되면 당근의 색이 변할 수 있으니 주의 합니다. ▷수확은 이른 아침이나 오전에 하는 것이 좋습니다. ▷[봄재배] 수확기에 온도가 상승하고 장마와 겹치므로 일찍 수확하는 것이 좋습니다. ▷[가을재배] 수확이 너무 늦으면 뿌리가 갈라지는 등 모양이 좋지 않을 수 있으니 주의합니다."
당근,보관,"당근을 신문으로 싸서, 세워 보관하면 오래 보관할 수 있습니다."
당근,1차 밑거름,▷ 파종 2주전 : 고토석회 120g/1㎡을 넣어 20cm 이상 깊이갈이를 하여 뿌리가 잘 자랄 수 있도록 합니다.
당근,2차 밑거름,"▷ 파종 1주전 : 완숙퇴비 2kg/㎡, 깻묵 400g/㎡을 섞어 밭을 갑니다.▷ 당근의 생육이 좋지 않을 경우 2차 솎음후 거름을 한 뒤 보름 간격으로 두 차례 더 거름을 하셔도 됩니다."
당근,이랑 만들기,"▷ 1줄이랑 : 두둑 넓이 50cm, 두둑 높이 15~20cm,  줄간격 15cm▷ 2줄이랑 : 두둑 넓이70cm,  두둑 높이 15~20cm, 줄간격 15cm▷ 4줄이랑 : 두둑 넓이90cm,  두둑 높이 15~20cm, 줄간격 15cm"
당근,멀칭하기,"봄철 당근 발아에는 10℃ 정도가 되어야 합니다. 만약 저온에서 발아를 할 경우 꽃눈이 분화하여 이삭이나 꽃대가 올라오는 현상(추대)이 발생할 수 있으며, 가을재배의 경우에는 고온에 의해 발아율이 저하될 수 있습니다. 짚이나 왕겨로 멀칭을 해주거나, 이 방법이 어려울 경우 비닐 멀칭을 합니다."
당근,씨뿌리기,"▷씨앗을 10~15cm 간격으로 3~4개씩 겹치지 않도록 신경쓰며 심습니다. 간격에 맞춰 1cm 정도의 홈을 만들어 씨앗을 넣고 0.5cm 정도의 흙을 가볍게 덮고 살짝 눌러 주세요.파종 후 물을 충분히 주면 싹도 빨리 틔우고 고르게 자랍니다. 물을 준 후 한랭사로 터널을 만들어주셔도 됩니다. 해충으로 부터 당근을 보호할 수 있습니다.  싹이 나와 한랭사 높이 만큼 크면 한랭사를 제거해 주세요.  * 가을재배를 할 경우 여름에 파종을 하므로 가뭄과 태풍 장마를 피해 파종합니다. 파종 후 지온을 낮추기 위해 짚이나 왕겨, 베어놓은 풀 또는 신문지로 멀칭을 해주면 싹이 트는데 도움이 됩니다.파종후 5일에 싹이 트기 시작하여 7일 정도에 완료됩니다."
당근,씨앗/모종준비,"▷당근은 유럽계와 동양계 품종이 있습니다. 유럽계  품종 중 가장 보편적인 것은 3촌군과 5촌군입니다. *3촌군 : 추대가 늦어서 촉성이나 이른 출하를 위한 봄파종 재배에 적당하고 여름 파종에도 이용됩니다. 뿌리가 짧아서 흙이 얕은 곳에서도 재배가 가능합니다. *5촌군 : 기후와 토양에 대한 적응성이 넓어서 세계적으로 많이 재배되며, 품질이 우수한 것이 많습니다.동양계 품종에는 금시, 용야천대장이 보편적입니다. *금시군 : 대부분 추대가 빠르고 수량이 적은 단점이 있으나 육질이 연하고 향기와 맛이 좋아 난지에서 여름 파종재배로 많이 이용됩니다. *용야천대장 : 뿌리길이 70cm, 지름 4~5cm정도로 당근 중 뿌리가 가장 긴 품종이며, 향기와 맛이 매우 좋아 여름파종 전용의 만생종입니다. 국내에서 생산/판매 신고된 당근 품종은 재배 적응지역이나 재배상의 유의사항을 표시하고 있으므로 품종선택 시 자신의 재배조건에 부합하는지 고려하여 선택하도록 합니다."
당근,북주기,"당근은 뿌리가 자람에 따라 땅 위로 약간 솟고 지면에는 갈라진 틈이 생깁니다. 이때 당근의 어깨 부분에 햇빛이 닿으면 엽록소가 생겨 녹색으로 변해 상품성이 떨어지므로 포기마다 북 주기를 해주는 것이 좋습니다.  시기는 마지막 솎음 직후가 좋으며, 흙이 가벼워 날리기 쉬운 포장은 한번 더 해주도록 합니다."
당근,웃거름,"▷2차 솎음이 끝나고 1주일 뒤 퇴비와 깻묵을 당근 포기 주변에 뿌리고 흙과 잘 섞어주세요.* 거름을 한 후 물을 주어 잘 흡수 되도록 합니다. 당근은 뿌리가 자람에 따라 땅 위로 약간 솟고 지면에는 갈라진 틈이 생깁니다. 이때 당근의 어깨 부분에 햇빛이 닿으면 엽록소가 생겨 녹색으로 변해 상품성이 떨어지므로 포기마다 북 주기를 해주는 것이 좋습니다.  시기는 마지막 솎음 직후가 좋으며, 흙이 가벼워 날리기 쉬운 포장은 한번 더 해주도록 합니다."
당근,2차 솎아내기,▷2차 솎음 : 본잎이 5~7장이 났을때 가장 생육이 좋은 1포기만 남기고 나머지는 뽑아 냅니다. 포기 사이 간격은 9~12cm를 유지합니다.
당근,솎아내기,"▷파종 후 한 달 정도가 되면 솎아내기를 해야 합니다. 잎 색이 짙고 지나치게 성장이 왕성하거나 저조한것, 뿌리 윗부분이 많이 노출된 것, 병해충 피해를 입은 것 등을 우선 솎아주고 후에 솎은 부분은 흙으로 메워줍니다. ▷1차 솎음 : 본잎이 2~3장이 났을때 튼튼한 2포기만 남기고 나머지는 솎아냅니다. 포기 사이 간격은 5~6cm를 유지합니다.(아직은 포기가 여리므로 솎아내기를 할때 다른 포기가 뽑히지 않도록 주의하세요)"
시금치,밑거름,"① 시금치는 재배 작형에 따라 약간의 차이는 있지만 비교적 다른 엽채류와 마찬가지로 재배기간이 짧아서, 파종할 장소에 퇴비 등으로 밑거름을 넉넉히 넣어 주는 것이 좋다. ② 시금치는 산성에 매우 약한 작물이므로, 석회를 주어 토양을 개량한 다음 재배를 해주는 것이 좋으며, 퇴비와 석회는 파종 2주 전에 주고 밭을 갈아두었다가 밑거름은 파종 1주일전에 준다. ③ 밑거름으로 1㎡당 퇴비는 2kg, 석회는 150g정도가 적당하다."
시금치,씨앗준비,무는 시금치는 봄과 가을재배 작형에 따라 사용하는 품종이 다르다. 따라서 종자를 판매하는 곳에서 재배하려는 계절에 적합한 품종에는 어떤 것들이 있는지를 문의하고 구입하는 것이 좋다. [재배 TIP]시금치는 자가채종이 비교적 용이한 작물로 추대가 올라오면 1-2대 정도를 남겨 씨를 받아 두는 것도 좋다.를 받아 두는 것도 좋다.
시금치,씨뿌리기,"① 시금치 종자는 껍질이 두꺼워 24시간 정도 물에 담갔다가 파종을 하는 것이 좋다고 알려져 있다. 하지만 종묘회사에서 판매하는 종자는 밭에 직접 파종을 해도 발아에는 문제가 없으므로 바로 사용해도 좋다. 다만 구매하는 종자의 경우 화학농약으로 소독을 하기 때문에 농약이 걱정이 된다면 물로 종자 표면을 씻어내고 파종하면 좋다. ② 봄파종재배는 4월 초에서 4월 중순까지, 가을파종재배는 9월 중순 경에 파종한다.③ 파종은 줄뿌림(조파)과 흩어뿌림(산파) 모두 가능하며, 깊이는 0.5cm내외가 좋다. 파종 후에는 부드러운 흙으로 종자가 드러나지 않도록 가볍게 덮어준다. ④ 폭 70cm 넓이의 이랑이라면 5줄 정도로 심고, 씨앗의 간격은 약 1-2cm정도로 한다. 봄파종재배의 경우는 씨앗의 간격을 조금 더 넓게 심는 것이 좋다.."
시금치,웃거름(2차),"솎아내기를 한 뒤 한 그루당 거름 한 줌씩을 주변에 뿌려주고,  무가 제대로 설 수 있도록 주변의 흙을 덮어 북을 주어야 합니다."
시금치,솎아내기(2차),본잎이 6~7장이 되면 2차 솎음을 합니다. 가장 건장한 포기 하나만 남기고 모두 솎아 냅니다.
시금치,2차 솎음작업,"2주일경에 포기사이를 4~5cm 간격으로 솎아준다. 솎아내기를 할때 남기려는 것까지 뽑히지 않도록 그루의 뿌리를 누르면서 잡아당기거나, 가위로 자른 뒤 그루에 흙을 덮어준다."
시금치,1차 솎음작업,"씨뿌리기 후 1-2주가 지나면 1차 솎아내기를 한다. 생육이 나쁜것은 뽑아내고, 그루의 간격을 2~3cm 되도록한다."
시금치,이랑만들기,"▷붕사 2g/1㎡을 밭에 잘 섞어줍니다. ▷두둑 넓이70~80cm, 두둑 높이 10~15cm * 최근 지구 온난화의 영향으로 가을재배를 하더라도 고온에 의한 생리장해를 입을 수 있으며, 붕소 결핍현상으로로 무를 잘랐을 때 속이 검은 색으로 변하거나 속이 빈 생리장해가 나타나기도 합니다. 이른 방지하기위해  붕사 15g/10㎡를 넣어줍니다."
시금치,멀칭하기,흑색 등 멀칭비닐을 씌워 밭 토양의 온도를 유지하고 잡초가 생기는 것을 막아주도록 합니다.
시금치,이랑 만들기,"① 완전히 발효가 된 완숙퇴비를 뿌리고 흙과 잘 섞이도록 괭이나 삽으로 갈아 엎는다. ② 이랑은 텃밭의 상황에 따라 재배하기 편리한 대로 정할 수 있지만, 폭 70-90cm, 높이 10cm 정도가 좋다. 고랑은 물빠짐이 잘 되도록 적당하게 만든다. ③ 시금치는 종자를 직접 땅에 파종하기 때문에 두둑의 윗면을 평평하게 해 주는 것이 좋다."
시금치,수확,"① 시금치는 포기가 풍성하게 자라기 때문에 중간에 크게 자란 것 부터 솎아주기를 해 가면서 수확하는 것이 좋다.② 요리를 하기에 적당한 크기가 되면 가능한 빨리 수확을 한다. 수확은 뿌리채 뽑을 수도 있지만, 칼이나 낫으로 뿌리부분을 남기고 잎 부분만 수확하기도 한다."
시금치,보관,▷단기저장 (임시저장)넓이 80~100㎝ 깊이 20~30㎝의 골을 파고 잎을 자르지 말고 4~5개씩 묶어서 세우고 잎이 약간 묻힐 정도로 흙을 덮어줍니다.▷ 장기저장(움저장)폭 1~1.2m 깊이 20~30㎝의 골을 파고 잎을 제거한 후 무를 일반 자루에 30㎏씩 넣어서 묶은 후 집어넣고 묻는 방법으로 한번에 식구들과 나누어 먹을 양을 양만큼씩 여러 구덩이로 분산 저장하는 것이 좋습니다.(공동보관)▷ 비닐밀봉 저장법(수시로 꺼내먹는 방법)무 잎을 자르고 0.05㎜비닐봉지(폭 20~30㎝길이45~65㎝)에 3~5개씩 넣은 후 공기를 빼고 고무줄이나 끈으로 묶은 후 상자에 담아서 냉장고에 넣어두는 방법과 고무통 같은 곳에 넣어서 서늘한 곳에 놓고 수시로 꺼내먹는 방법도 있다.(개인보관방법)
고추,[풋고추 수확],① 고추 과일은 꽃이 핀 후부터 30일 가량은 주로 양적인 크기 생장을 하며 30일 이후에는 고추의 풍미와 착색이 이루어지고 종자가 충실해진다. 그러므로 풋고추 수확은 개화 후 3~4주가 경과하면 수확할 수 있다.
고추,[홍고추 수확],"① 고추가 붉은 고추로 성숙하는데 필요한 적산온도(일평균온도를 누적한 온도)는 약 1,000℃ 이상이며 보통 45일이면 착색이 완료되어 홍고추로 수확할 수 있다. 온도가 높으면 빨리 성숙하고 온도가 낮으면 붉은 고추로 성숙이 늦어진다."
고추,[고추 말리기],"① 수확한 고추를 채반에 널어 통풍이 잘되는 장소에서 건조하거나 지상에서 최소30cm이상의 높이를 두고 발(殼簾)등에 고추를 펼쳐 널면 상하로 통풍이 되므로 좋은 색깔을 낼 수 있다.② 또한, 홍고추를 수확하여 통고추로 햇볕에 말리면 시간이 오래 걸리고 희나리 발생이나 썩을 우려가 많다. 그러므로 자가 소비용은 통고추를 절개하여 말리면 건조기간을 줄일 수 있다."
